locus_tag	ftype	length_bp	gene	EC_number	COG	product
DMAJDCCL_02882	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
DMAJDCCL_02883	CDS	822	cysE_3	2.3.1.30	COG1045	Serine acetyltransferase
DMAJDCCL_02884	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
DMAJDCCL_02885	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
DMAJDCCL_02886	CDS	777	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
DMAJDCCL_02887	CDS	1656	lldP		COG1620	L-lactate permease
DMAJDCCL_02888	CDS	4851	ehaG		COG5295	Autotransporter adhesin EhaG
DMAJDCCL_02889	CDS	684	sadB			Inner membrane lipoprotein SadB
DMAJDCCL_02890	CDS	363	yibL			putative protein YibL
DMAJDCCL_02891	CDS	210				hypothetical protein
DMAJDCCL_02892	CDS	588	mtlR		COG3722	Mannitol operon repressor
DMAJDCCL_02893	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
DMAJDCCL_02894	CDS	1914	mtlA_2		COG2213	PTS system mannitol-specific EIICBA component
DMAJDCCL_02895	CDS	363	yiaW_1			Inner membrane protein YiaW
DMAJDCCL_02896	CDS	1137	yibH		COG1566	Inner membrane protein YibH
DMAJDCCL_02897	CDS	462				hypothetical protein
DMAJDCCL_02898	CDS	939				hypothetical protein
DMAJDCCL_02899	CDS	843	yibA			Protein YibA
DMAJDCCL_02900	CDS	384				hypothetical protein
DMAJDCCL_02901	CDS	3966	rhsC		COG3209	Protein RhsC
DMAJDCCL_02902	CDS	609	yibF		COG0625	putative GST-like protein YibF
DMAJDCCL_02903	CDS	1392	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
DMAJDCCL_02904	CDS	1845	selB		COG3276	Selenocysteine-specific elongation factor
DMAJDCCL_02905	CDS	1152	adhB	1.1.1.1		Alcohol dehydrogenase 2
DMAJDCCL_02906	CDS	1539	aldB	1.2.1.-	COG1012	Aldehyde dehydrogenase B
DMAJDCCL_02907	CDS	324	yiaW_2			Inner membrane protein YiaW
DMAJDCCL_02908	CDS	1137	yiaV		COG1566	Inner membrane protein YiaV
DMAJDCCL_02909	CDS	975				hypothetical protein
DMAJDCCL_02910	CDS	741	mipA_2		COG3713	MltA-interacting protein
DMAJDCCL_02911	CDS	696	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
DMAJDCCL_02912	CDS	861	ulaE_2	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
DMAJDCCL_02913	CDS	663	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
DMAJDCCL_02914	CDS	1497	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
DMAJDCCL_02915	CDS	987	yiaO		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
DMAJDCCL_02916	CDS	1278	siaM		COG1593	Sialic acid TRAP transporter large permease protein SiaM
DMAJDCCL_02917	CDS	474	yiaM		COG3090	2,3-diketo-L-gulonate TRAP transporter small permease protein YiaM
DMAJDCCL_02918	CDS	468	yhcH_1		COG2731	putative protein YhcH
DMAJDCCL_02919	CDS	999	dlgD	1.1.1.130	COG2055	2,3-diketo-L-gulonate reductase
DMAJDCCL_02920	CDS	849	yiaJ		COG1414	DNA-binding transcriptional repressor YiaJ
DMAJDCCL_02921	CDS	474	hyfA_5	1.-.-.-	COG1142	Hydrogenase-4 component A
DMAJDCCL_02922	CDS	1254	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
DMAJDCCL_02923	CDS	1095	malS_1	3.2.1.1	COG0366	Periplasmic alpha-amylase
DMAJDCCL_02924	CDS	936	malS_2	3.2.1.1	COG0366	Periplasmic alpha-amylase
DMAJDCCL_02925	CDS	825				hypothetical protein
DMAJDCCL_02926	CDS	1179	xylR			Xylose operon regulatory protein
DMAJDCCL_02927	CDS	1182	xylH		COG4214	Xylose transport system permease protein XylH
DMAJDCCL_02928	CDS	1542	xylG	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
DMAJDCCL_02929	CDS	993	xylF		COG4213	D-xylose-binding periplasmic protein
DMAJDCCL_02930	CDS	1323	xylA	5.3.1.5		Xylose isomerase
DMAJDCCL_02931	CDS	1455	xylB	2.7.1.17	COG1070	Xylulose kinase
DMAJDCCL_02932	CDS	342	yiaB		COG4682	Inner membrane protein YiaB
DMAJDCCL_02933	CDS	438	yiaA		COG4682	Inner membrane protein YiaA
DMAJDCCL_02934	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
DMAJDCCL_02935	CDS	300				hypothetical protein
DMAJDCCL_02936	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
DMAJDCCL_02937	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
DMAJDCCL_02938	CDS	213				hypothetical protein
DMAJDCCL_02939	CDS	213	cspA		COG1278	Cold shock protein CspA
DMAJDCCL_02940	CDS	291				hypothetical protein
DMAJDCCL_02941	CDS	711				hypothetical protein
DMAJDCCL_02942	CDS	975	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
DMAJDCCL_02943	CDS	660	yiaD		COG2885	putative lipoprotein YiaD
DMAJDCCL_02944	CDS	2334	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
DMAJDCCL_02945	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
DMAJDCCL_02946	CDS	564	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
DMAJDCCL_02947	CDS	699				hypothetical protein
DMAJDCCL_02948	CDS	1203	yhjX			putative MFS-type transporter YhjX
DMAJDCCL_02949	CDS	525	lpfA			putative major fimbrial subunit LpfA
DMAJDCCL_02950	CDS	687	lpfB			putative fimbrial chaperone LpfB
DMAJDCCL_02951	CDS	2532				hypothetical protein
DMAJDCCL_02952	CDS	1056	lpfD			putative minor fimbrial subunit LpfD
DMAJDCCL_02953	CDS	525	lpfE			putative fimbrial subunit LpfE
DMAJDCCL_02954	CDS	1692	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
DMAJDCCL_02955	tRNA	77				tRNA-Pro(cgg)
DMAJDCCL_02956	CDS	1608	dppA		COG0747	Periplasmic dipeptide transport protein
DMAJDCCL_02957	CDS	1020	dppB		COG0601	Dipeptide transport system permease protein DppB
DMAJDCCL_02958	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
DMAJDCCL_02959	CDS	984	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
DMAJDCCL_02960	CDS	1005	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
DMAJDCCL_02961	CDS	1272	yhjV		COG0814	Inner membrane transport protein YhjV
DMAJDCCL_02962	CDS	108	ldrD_1			Small toxic polypeptide LdrD
DMAJDCCL_02963	CDS	108	ldrD_2			Small toxic polypeptide LdrD
DMAJDCCL_02964	CDS	108	ldrD_3			Small toxic polypeptide LdrD
DMAJDCCL_02965	CDS	108	ldrD_4			Small toxic polypeptide LdrD
DMAJDCCL_02966	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
DMAJDCCL_02967	CDS	192				hypothetical protein
DMAJDCCL_02968	CDS	1377	bcsE			Cyclic di-GMP binding protein BcsE
DMAJDCCL_02969	CDS	189	yhjR			Protein YhjR
DMAJDCCL_02970	CDS	753	bcsQ			Cellulose biosynthesis protein BcsQ
DMAJDCCL_02971	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
DMAJDCCL_02972	CDS	2304	bcsB			Cyclic di-GMP-binding protein
DMAJDCCL_02973	CDS	1107	bcsZ	3.2.1.4	COG3405	Endoglucanase
DMAJDCCL_02974	CDS	3474	bcsC		COG0457	Cellulose synthase operon protein C
DMAJDCCL_02975	CDS	1950	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
DMAJDCCL_02976	CDS	1287	dctA		COG1301	Aerobic C4-dicarboxylate transport protein
DMAJDCCL_02977	CDS	1497	yhjJ		COG0612	Protein YhjJ
DMAJDCCL_02978	CDS	930	kdgK_2	2.7.1.45		2-dehydro-3-deoxygluconokinase
DMAJDCCL_02979	CDS	768	pdeH	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeH
DMAJDCCL_02980	CDS	2061				hypothetical protein
DMAJDCCL_02981	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
DMAJDCCL_02982	CDS	1014	yhjD		COG1295	Inner membrane protein YhjD
DMAJDCCL_02983	CDS	972	dmlR_4			HTH-type transcriptional regulator DmlR
DMAJDCCL_02984	CDS	603	yhjB			Putative HTH-type transcriptional regulator YhjB
DMAJDCCL_02985	CDS	1650	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
DMAJDCCL_02986	CDS	1398				hypothetical protein
DMAJDCCL_02987	CDS	1401	gadA	4.1.1.15	COG0076	Glutamate decarboxylase alpha
DMAJDCCL_02988	CDS	825	gadX_1			HTH-type transcriptional regulator GadX
DMAJDCCL_02989	CDS	729	gadW			HTH-type transcriptional regulator GadW
DMAJDCCL_02990	CDS	282				hypothetical protein
DMAJDCCL_02991	CDS	3114	mdtF		COG0841	Multidrug resistance protein MdtF
DMAJDCCL_02992	CDS	1158	mdtE			Multidrug resistance protein MdtE
DMAJDCCL_02993	CDS	279				hypothetical protein
DMAJDCCL_02994	CDS	528	gadE			Transcriptional regulator GadE
DMAJDCCL_02995	CDS	573	hdeD		COG3247	Protein HdeD
DMAJDCCL_02996	CDS	333	hdeA			Acid stress chaperone HdeA
DMAJDCCL_02997	CDS	339	hdeB			Acid stress chaperone HdeB
DMAJDCCL_02998	CDS	576	sapB_1		COG1285	Protein SapB
DMAJDCCL_02999	CDS	531	dctR		COG2771	HTH-type transcriptional regulator DctR
DMAJDCCL_03000	CDS	567	slp_2		COG3065	Outer membrane protein Slp
DMAJDCCL_03001	CDS	1146				hypothetical protein
DMAJDCCL_03002	CDS	1014				hypothetical protein
DMAJDCCL_03003	CDS	297				hypothetical protein
DMAJDCCL_03004	CDS	426	arsC	1.20.4.1		Arsenate reductase
DMAJDCCL_03005	CDS	1290	arsB		COG1055	Arsenical pump membrane protein
DMAJDCCL_03006	CDS	354				hypothetical protein
DMAJDCCL_03007	CDS	174				hypothetical protein
DMAJDCCL_03008	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
DMAJDCCL_03009	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
DMAJDCCL_03010	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
DMAJDCCL_03011	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
DMAJDCCL_03012	CDS	1470	dtpB		COG3104	Dipeptide and tripeptide permease B
DMAJDCCL_03013	CDS	435	uspA		COG0589	Universal stress protein A
DMAJDCCL_03014	CDS	336	uspB			Universal stress protein B
DMAJDCCL_03015	CDS	1500	pitA_2		COG0306	Low-affinity inorganic phosphate transporter 1
DMAJDCCL_03016	CDS	1203			COG2081	putative protein
DMAJDCCL_03017	CDS	843				hypothetical protein
DMAJDCCL_03018	CDS	2124	tnsB			Transposon Tn7 transposition protein TnsB
DMAJDCCL_03019	CDS	1449				hypothetical protein
DMAJDCCL_03020	CDS	1557				hypothetical protein
DMAJDCCL_03021	CDS	927				hypothetical protein
DMAJDCCL_03022	CDS	300				hypothetical protein
DMAJDCCL_03023	CDS	1827				hypothetical protein
DMAJDCCL_03024	CDS	351				hypothetical protein
DMAJDCCL_03025	CDS	432	silE_1			Silver-binding protein SilE
DMAJDCCL_03026	CDS	1482	cusS_1	2.7.13.3	COG0642	Sensor histidine kinase CusS
DMAJDCCL_03027	CDS	681	cusR_1		COG0745	Transcriptional regulatory protein CusR
DMAJDCCL_03028	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
DMAJDCCL_03029	CDS	354	cusF_1		COG5569	Cation efflux system protein CusF
DMAJDCCL_03030	CDS	1293	cusB_1			Cation efflux system protein CusB
DMAJDCCL_03031	CDS	3147	cusA_1		COG3696	Cation efflux system protein CusA
DMAJDCCL_03032	CDS	441				hypothetical protein
DMAJDCCL_03033	CDS	2448	silP	7.2.2.15		Silver exporting P-type ATPase
DMAJDCCL_03034	CDS	198				hypothetical protein
DMAJDCCL_03035	CDS	738	mepM_2	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
DMAJDCCL_03036	CDS	450	silE_2			Silver-binding protein SilE
DMAJDCCL_03037	CDS	1818	copA_1			Copper resistance protein A
DMAJDCCL_03038	CDS	897	copB			Copper resistance protein B
DMAJDCCL_03039	CDS	381	pcoC		COG2372	Copper resistance protein C
DMAJDCCL_03040	CDS	930	copD			Copper resistance protein D
DMAJDCCL_03041	CDS	681	copR			Transcriptional activator protein CopR
DMAJDCCL_03042	CDS	1401	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
DMAJDCCL_03043	CDS	435	pcoE			putative copper-binding protein PcoE
DMAJDCCL_03044	CDS	1053	yhiM			Inner membrane protein YhiM
DMAJDCCL_03045	CDS	1086				hypothetical protein
DMAJDCCL_03046	CDS	372				hypothetical protein
DMAJDCCL_03047	CDS	195				hypothetical protein
DMAJDCCL_03048	CDS	1341				hypothetical protein
DMAJDCCL_03049	CDS	1068				hypothetical protein
DMAJDCCL_03050	CDS	2736	rbbA		COG0842	Ribosome-associated ATPase
DMAJDCCL_03051	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
DMAJDCCL_03052	CDS	360				hypothetical protein
DMAJDCCL_03053	CDS	402	nikR		COG0864	Nickel-responsive regulator
DMAJDCCL_03054	CDS	807	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
DMAJDCCL_03055	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
DMAJDCCL_03056	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
DMAJDCCL_03057	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
DMAJDCCL_03058	CDS	1575	nikA		COG0747	Nickel-binding periplasmic protein
DMAJDCCL_03059	CDS	588				hypothetical protein
DMAJDCCL_03060	CDS	1050	yhhT_2		COG0628	Putative transport protein YhhT
DMAJDCCL_03061	CDS	1251	yhhS			putative MFS-type transporter YhhS
DMAJDCCL_03062	CDS	558				hypothetical protein
DMAJDCCL_03063	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
DMAJDCCL_03064	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
DMAJDCCL_03065	CDS	2199	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
DMAJDCCL_03066	CDS	627				hypothetical protein
DMAJDCCL_03067	CDS	360				hypothetical protein
DMAJDCCL_03068	CDS	270				hypothetical protein
DMAJDCCL_03069	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
DMAJDCCL_03070	CDS	1494	ftsY		COG0552	Signal recognition particle receptor FtsY
DMAJDCCL_03071	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
DMAJDCCL_03072	CDS	1059	ftsX		COG2177	Cell division protein FtsX
DMAJDCCL_03073	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
DMAJDCCL_03074	CDS	1104	livJ		COG0683	Leu/Ile/Val-binding protein
DMAJDCCL_03075	CDS	384	panZ			PanD regulatory factor
DMAJDCCL_03076	CDS	1110	livK		COG0683	Leucine-specific-binding protein
DMAJDCCL_03077	CDS	927	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
DMAJDCCL_03078	CDS	1278				hypothetical protein
DMAJDCCL_03079	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
DMAJDCCL_03080	CDS	714	livF		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
DMAJDCCL_03081	CDS	1317	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
DMAJDCCL_03082	CDS	888	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
DMAJDCCL_03083	CDS	846				hypothetical protein
DMAJDCCL_03084	CDS	1071	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
DMAJDCCL_03085	CDS	744	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
DMAJDCCL_03086	CDS	441	yhhA			putative protein YhhA
DMAJDCCL_03087	CDS	1743	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
DMAJDCCL_03088	CDS	285				hypothetical protein
DMAJDCCL_03089	CDS	156				hypothetical protein
DMAJDCCL_03090	CDS	495				hypothetical protein
DMAJDCCL_03091	CDS	1179				hypothetical protein
DMAJDCCL_03092	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
DMAJDCCL_03093	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
DMAJDCCL_03094	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
DMAJDCCL_03095	CDS	996	gntR_3			HTH-type transcriptional regulator GntR
DMAJDCCL_03096	CDS	528	gntK_2	2.7.1.12	COG3265	Thermoresistant gluconokinase
DMAJDCCL_03097	CDS	1341	gntU		COG2610	Low-affinity gluconate transporter
DMAJDCCL_03098	CDS	594				hypothetical protein
DMAJDCCL_03099	CDS	1104	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
DMAJDCCL_03100	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
DMAJDCCL_03101	CDS	1974	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
DMAJDCCL_03102	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
DMAJDCCL_03103	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
DMAJDCCL_03104	CDS	2448	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
DMAJDCCL_03105	CDS	1506				hypothetical protein
DMAJDCCL_03106	CDS	711				hypothetical protein
DMAJDCCL_03107	CDS	768				hypothetical protein
DMAJDCCL_03108	CDS	606				hypothetical protein
DMAJDCCL_03109	CDS	1506	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
DMAJDCCL_03110	CDS	327	glpE	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
DMAJDCCL_03111	CDS	831	glpG_1	3.4.21.105	COG0705	Rhomboid protease GlpG
DMAJDCCL_03112	CDS	759	glpR		COG1349	Glycerol-3-phosphate regulon repressor
DMAJDCCL_03113	CDS	1599	norR_3			Anaerobic nitric oxide reductase transcription regulator NorR
DMAJDCCL_03114	CDS	1227	rtcB_1	6.5.1.-	COG1690	RNA-splicing ligase RtcB
DMAJDCCL_03115	CDS	1017	rtcA	6.5.1.4	COG0430	RNA 3'-terminal phosphate cyclase
DMAJDCCL_03116	CDS	2706	malT		COG2909	HTH-type transcriptional regulator MalT
DMAJDCCL_03117	CDS	2394	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
DMAJDCCL_03118	CDS	2085	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
DMAJDCCL_03119	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
DMAJDCCL_03120	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
DMAJDCCL_03121	CDS	684	prs_1			Putative ribose-phosphate pyrophosphokinase
DMAJDCCL_03122	CDS	771	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
DMAJDCCL_03123	CDS	879				ISNCY family transposase ISVsa17
DMAJDCCL_03124	CDS	237	feoC			putative [Fe-S]-dependent transcriptional repressor FeoC
DMAJDCCL_03125	CDS	2322	feoB		COG0370	Fe(2+) transporter FeoB
DMAJDCCL_03126	CDS	228	feoA		COG1918	Fe(2+) transport protein A
DMAJDCCL_03127	CDS	2322	yhgF		COG2183	Protein YhgF
DMAJDCCL_03128	CDS	477	greB		COG0782	Transcription elongation factor GreB
DMAJDCCL_03129	CDS	720	ompR			Transcriptional regulatory protein OmpR
DMAJDCCL_03130	CDS	1353	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
DMAJDCCL_03131	CDS	297				hypothetical protein
DMAJDCCL_03132	CDS	318	higB-2_2		COG2026	Toxin HigB-2
DMAJDCCL_03133	CDS	1623	pckA	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
DMAJDCCL_03134	CDS	1725				hypothetical protein
DMAJDCCL_03135	CDS	879	hslO		COG1281	33 kDa chaperonin
DMAJDCCL_03136	CDS	402	hslR		COG1188	Heat shock protein 15
DMAJDCCL_03137	CDS	669	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
DMAJDCCL_03138	CDS	2124	yrfF			Putative membrane protein IgaA 
DMAJDCCL_03139	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
DMAJDCCL_03140	CDS	2553	mrcA		COG5009	Penicillin-binding protein 1A
DMAJDCCL_03141	CDS	780				hypothetical protein
DMAJDCCL_03142	CDS	540				hypothetical protein
DMAJDCCL_03143	CDS	441				hypothetical protein
DMAJDCCL_03144	CDS	405				hypothetical protein
DMAJDCCL_03145	CDS	1209	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
DMAJDCCL_03146	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
DMAJDCCL_03147	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
DMAJDCCL_03148	CDS	1287	damX		COG3266	Cell division protein DamX
DMAJDCCL_03149	CDS	837	dam	2.1.1.72	COG0338	DNA adenine methylase
DMAJDCCL_03150	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
DMAJDCCL_03151	CDS	759	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
DMAJDCCL_03152	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
DMAJDCCL_03153	CDS	906				hypothetical protein
DMAJDCCL_03154	CDS	363				hypothetical protein
DMAJDCCL_03155	CDS	1164	yhfX		COG3457	putative protein YhfX
DMAJDCCL_03156	CDS	1227	deoB_2	5.4.2.7	COG1015	Phosphopentomutase
DMAJDCCL_03157	CDS	879	php_2		COG1735	Phosphotriesterase homology protein
DMAJDCCL_03158	CDS	354				hypothetical protein
DMAJDCCL_03159	CDS	1305				hypothetical protein
DMAJDCCL_03160	CDS	1086	yhfS			putative protein YhfS
DMAJDCCL_03161	CDS	732	frlR		COG2188	putative fructoselysine utilization operon transcriptional repressor
DMAJDCCL_03162	CDS	786	frlD	2.7.1.218	COG0524	Fructoselysine 6-kinase
DMAJDCCL_03163	CDS	831	frlC	5.1.3.41	COG1082	Fructoselysine 3-epimerase
DMAJDCCL_03164	CDS	1023	frlB	3.5.-.-	COG2222	Fructoselysine 6-phosphate deglycase
DMAJDCCL_03165	CDS	1338	frlA		COG0531	putative fructoselysine/psicoselysine transporter FrlA
DMAJDCCL_03166	CDS	168				hypothetical protein
DMAJDCCL_03167	CDS	1374	cysG		COG0007	Siroheme synthase
DMAJDCCL_03168	CDS	807	nirC		COG2116	Nitrite transporter NirC
DMAJDCCL_03169	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
DMAJDCCL_03170	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
DMAJDCCL_03171	CDS	1182	tsgA		COG0477	Protein TsgA
DMAJDCCL_03172	CDS	573	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
DMAJDCCL_03173	CDS	168	yhfG			putative protein YhfG
DMAJDCCL_03174	CDS	603	fic_2	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
DMAJDCCL_03175	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
DMAJDCCL_03176	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
DMAJDCCL_03177	CDS	2091				hypothetical protein
DMAJDCCL_03178	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
DMAJDCCL_03179	CDS	405	yhfA		COG1765	Protein YhfA
DMAJDCCL_03180	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
DMAJDCCL_03181	CDS	219				hypothetical protein
DMAJDCCL_03182	CDS	1023				hypothetical protein
DMAJDCCL_03183	CDS	1914	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
DMAJDCCL_03184	CDS	552	ywrO	1.6.99.-	COG2249	General stress protein 14
DMAJDCCL_03185	CDS	1806	kefC_2		COG0475	Glutathione-regulated potassium-efflux system protein KefC
DMAJDCCL_03186	CDS	201				hypothetical protein
DMAJDCCL_03187	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
DMAJDCCL_03188	CDS	219	slyX		COG2900	Protein SlyX 
DMAJDCCL_03189	CDS	813	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
DMAJDCCL_03190	CDS	723	dauR		COG2964	Transcriptional regulator DauR
DMAJDCCL_03191	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
DMAJDCCL_03192	CDS	360	tusC		COG2923	Protein TusC
DMAJDCCL_03193	CDS	288	tusB		COG2168	Protein TusB
DMAJDCCL_03194	CDS	375	rpsL		COG0048	30S ribosomal protein S12
DMAJDCCL_03195	CDS	471	rpsG		COG0049	30S ribosomal protein S7
DMAJDCCL_03196	CDS	2115	fusA		COG0480	Elongation factor G
DMAJDCCL_03197	CDS	1185	tuf1			Elongation factor Tu 1
DMAJDCCL_03198	CDS	195	bfd		COG2906	Bacterioferritin-associated ferredoxin
DMAJDCCL_03199	CDS	477	bfr	1.16.3.1	COG2193	Bacterioferritin
DMAJDCCL_03200	CDS	468				hypothetical protein
DMAJDCCL_03201	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
DMAJDCCL_03202	CDS	630	rplC		COG0087	50S ribosomal protein L3
DMAJDCCL_03203	CDS	606	rplD		COG0088	50S ribosomal protein L4
DMAJDCCL_03204	CDS	303	rplW		COG0089	50S ribosomal protein L23
DMAJDCCL_03205	CDS	822	rplB		COG0090	50S ribosomal protein L2
DMAJDCCL_03206	CDS	279	rpsS		COG0185	30S ribosomal protein S19
DMAJDCCL_03207	CDS	333	rplV		COG0091	50S ribosomal protein L22
DMAJDCCL_03208	CDS	702	rpsC		COG0092	30S ribosomal protein S3
DMAJDCCL_03209	CDS	411	rplP		COG0197	50S ribosomal protein L16
DMAJDCCL_03210	CDS	192	rpmC		COG0255	50S ribosomal protein L29
DMAJDCCL_03211	CDS	255	rpsQ		COG0186	30S ribosomal protein S17
DMAJDCCL_03212	CDS	372	rplN		COG0093	50S ribosomal protein L14
DMAJDCCL_03213	CDS	315	rplX		COG0198	50S ribosomal protein L24
DMAJDCCL_03214	CDS	540	rplE		COG0094	50S ribosomal protein L5
DMAJDCCL_03215	CDS	306	rpsN		COG0199	30S ribosomal protein S14
DMAJDCCL_03216	CDS	393	rpsH		COG0096	30S ribosomal protein S8
DMAJDCCL_03217	CDS	534	rplF		COG0097	50S ribosomal protein L6
DMAJDCCL_03218	CDS	354	rplR		COG0256	50S ribosomal protein L18
